beta_I,beta_FR,phi0,theta_N,alpha,gamma_comm,delta_C,phi_obs,R0,R0_B,R0_N,rho_N,trM,detM
0.79934406,2.1118093,0.51524699,0.030990236,0.016000759,0.086668159,0.014293345,0.6392497,2.4112958,1.5921958,3.4164229,2.6837945,2.5321233,0.29135077
0.79040914,1.9575467,0.52208968,0.03112108,0.012154877,0.083163262,0.013162615,0.57966109,2.3806165,1.5759505,3.3319782,2.6530747,2.4927544,0.26695751
0.79997228,1.8965145,0.44481799,0.025126967,0.012985573,0.05460687,0.011750486,0.63182836,2.2823924,1.593338,3.4009798,2.7338237,2.3974096,0.26251439
0.79896394,1.641857,0.44106865,0.0279998,0.011760617,0.060963681,0.011573979,0.61843918,2.2357306,1.5915047,3.2803375,2.7067141,2.3363959,0.2250606
0.7997048,1.7653837,0.52093644,0.032837529,0.012375637,0.062387028,0.010500485,0.65229743,2.3694914,1.5928517,3.2800902,2.6702783,2.4717957,0.24240922
0.84694301,1.6224089,0.50780901,0.023773237,0.030800607,0.096435284,0.010446312,0.58985634,2.4959867,1.6787394,3.4776489,2.9050523,2.5922418,0.24025149
0.84146251,1.6077953,0.51526117,0.040464744,0.017374109,0.096746856,0.012564909,0.57514048,2.4106133,1.6687748,3.2916503,2.7458781,2.5049796,0.22748062
0.81053847,1.5625967,0.57010734,0.03607144,0.034585348,0.096151465,0.01235324,0.70814969,2.4399626,1.6125493,3.2160912,2.680342,2.5267403,0.21173429
0.80752375,1.5722699,0.50124782,0.026915295,0.011862884,0.084429732,0.011138006,0.53479881,2.3594444,1.607068,3.295164,2.7444335,2.4532224,0.22126396
0.83576578,1.5063874,0.54488568,0.053535931,0.010713782,0.070958879,0.012100035,0.54472779,2.3715084,1.6584171,3.1252667,2.6283525,2.4576825,0.20436243
0.84855618,1.6896119,0.37839599,0.029316289,0.025765366,0.087681289,0.013272117,0.46591727,2.2472846,1.6816724,3.4501651,2.8616937,2.350863,0.23277007
0.83011802,1.852331,0.42897028,0.041998355,0.025414393,0.093513313,0.011756219,0.50514051,2.2548365,1.6481485,3.323982,2.6973607,2.3670312,0.25298069
0.83338277,1.7559536,0.46748673,0.028554485,0.02214595,0.09171399,0.015341801,0.56423455,2.3782967,1.6540844,3.4301566,2.8174769,2.4843746,0.2522847
0.85631903,1.4427511,0.4209594,0.035659675,0.02731383,0.090235772,0.011584889,0.4854883,2.2938665,1.6957867,3.3284884,2.8333616,2.3830878,0.20466182
0.80321817,1.6128,0.5472426,0.03750369,0.022387744,0.07601759,0.01654319,0.52540616,2.3816179,1.5992396,3.1964771,2.6453226,2.473316,0.21838983
