beta_I,beta_FR,phi0,theta_N,alpha,gamma_comm,delta_C,phi_obs,R0
0.94185276,2.0347776,0.38523568,0.028593881,0.018205686,0.053312326,0.012841793,0.62998595,2.5129421
0.9581286,2.0143838,0.38959475,0.031183403,0.017603329,0.049239,0.015401594,0.63952897,2.5480079
0.90475307,1.8785349,0.4473395,0.033424335,0.02837015,0.08047397,0.013910496,0.64381709,2.5091688
0.90142662,1.849331,0.40992469,0.033025821,0.036820337,0.075771804,0.014889371,0.68192326,2.429367
0.92387104,1.5571752,0.47312921,0.044506954,0.022804521,0.079707352,0.02521009,0.54457707,2.5198618
0.95413222,1.5956028,0.50189449,0.035607191,0.029664027,0.087138099,0.014525414,0.61466398,2.6958811
0.93986154,1.5033959,0.50867719,0.033403269,0.013642297,0.090295897,0.012377747,0.69928447,2.6730471
0.96429787,1.631302,0.50064132,0.040623259,0.044869808,0.090147645,0.013778282,0.65275163,2.69693
0.95941264,1.8539195,0.4973999,0.046214758,0.040614485,0.087322706,0.01218362,0.68788316,2.6751775
0.93057826,1.9373307,0.43499323,0.035316471,0.010969315,0.091816328,0.020323967,0.74717464,2.5457926
0.92848749,1.9065111,0.42737873,0.035617283,0.010968855,0.092331095,0.01755196,0.7165652,2.5218099
0.95080375,1.9735071,0.4587667,0.035048209,0.011811343,0.057655006,0.011310899,0.72498608,2.6474502
0.93090777,1.3458291,0.4731567,0.03450031,0.03222148,0.07782709,0.01069258,0.75469196,2.5626184
0.92866026,1.6992077,0.42631123,0.044164794,0.012334341,0.063817509,0.024121235,0.5101325,2.4649752
0.9688708,1.8678554,0.42234342,0.048096092,0.010808314,0.064728245,0.015056712,0.55634399,2.5516198
0.9151104,1.6554968,0.47658147,0.023596019,0.016496651,0.061427093,0.011554289,0.76201473,2.6176186
0.89432279,1.7514352,0.48070284,0.033068937,0.024904695,0.067261313,0.017730092,0.60122644,2.5348791
0.96086116,1.6178341,0.42271602,0.046344319,0.012730538,0.067516129,0.010980562,0.6762107,2.5196516
0.91505585,1.6513617,0.49297515,0.034885362,0.027692846,0.094956371,0.040670033,0.51085621,2.5900238
0.97058947,1.4643035,0.45629273,0.043891218,0.012047186,0.062515391,0.011226285,0.71652959,2.5987245
0.93408183,1.5625241,0.40133297,0.044788874,0.041090984,0.059936603,0.026266657,0.61480326,2.4213783
0.95834707,1.4736858,0.4586243,0.040419035,0.027465432,0.076604391,0.018481205,0.51971676,2.5898862
1.0016994,1.5836557,0.44805514,0.039453348,0.017046433,0.076395493,0.013105862,0.46068434,2.6922086
0.97769031,1.4935239,0.42332678,0.038013222,0.022999816,0.068947333,0.021442241,0.53748482,2.5867453
0.94010784,1.391376,0.36933609,0.046280088,0.014174645,0.061607838,0.013587997,0.60803559,2.365449
0.96101864,1.7902876,0.44028121,0.043159702,0.015382269,0.064139491,0.011517799,0.89070378,2.5805428
0.95751438,1.441461,0.45964403,0.037774649,0.024871844,0.087111514,0.01139283,0.54942013,2.5989733
0.94509862,1.6683585,0.46540333,0.039543163,0.020873128,0.070089488,0.01075529,0.49408292,2.5930318
0.95206782,1.6379418,0.4675131,0.03991345,0.023798679,0.073429279,0.011626606,0.52168372,2.6092742
0.94583302,1.5704397,0.48628566,0.033386751,0.021431867,0.07348509,0.010451086,0.80815606,2.6540735
0.95517826,1.6990634,0.35672081,0.031864113,0.011649673,0.078690086,0.012141349,0.56984369,2.4521109
0.89239232,1.6841435,0.554829,0.040923653,0.046108885,0.079274011,0.016676554,0.60786584,2.6184377
0.87105475,2.0140559,0.61106184,0.042548439,0.017268256,0.074124677,0.020218581,0.87860823,2.7086289
0.9988762,1.2630977,0.30390109,0.030908042,0.014232308,0.049970836,0.01859333,0.50568214,2.4370015
1.0165504,1.3383903,0.34114255,0.034315695,0.021907806,0.086963101,0.012564829,0.55875974,2.535297
0.90202119,2.0022615,0.56930213,0.036380176,0.034877169,0.08648039,0.012865444,0.7202705,2.7421177
0.91206489,1.3809398,0.5003922,0.042105102,0.022512402,0.053806222,0.025423082,0.75267919,2.5293173
0.97495538,1.9441476,0.45313822,0.034029831,0.023701813,0.07095381,0.013040265,0.52580524,2.6981656
0.90902725,1.3114291,0.5299465,0.044072814,0.024911266,0.055965923,0.01480923,0.68349694,2.5531021
0.91912727,1.9964701,0.44358543,0.033564018,0.01240546,0.089012741,0.011957721,0.80738673,2.5482602
0.98765216,1.283009,0.44157554,0.038618703,0.051053371,0.09585301,0.018206812,0.63382099,2.6220818
0.95989837,1.5688209,0.37915788,0.056204626,0.016694426,0.090945243,0.018121928,0.7683065,2.4034243
0.93336464,1.4858836,0.39243636,0.051077962,0.025559364,0.092349312,0.01323842,0.68196802,2.3758209
0.90227828,1.7252909,0.46639649,0.042386021,0.07684348,0.093918076,0.016581378,0.64265914,2.4817624
0.89707232,1.4497822,0.41087295,0.039069495,0.010011758,0.047259629,0.013176264,0.80146991,2.3627346
0.91806978,1.5254624,0.47190638,0.030971379,0.01003791,0.063082591,0.020794897,0.58149874,2.5643068
0.91458033,1.7327225,0.42535246,0.053720112,0.01002799,0.043107353,0.010438469,0.53005036,2.3942499
0.90510297,1.893532,0.44747905,0.037951721,0.018580441,0.097183791,0.010286709,0.75163671,2.4909627
0.95144934,2.0530417,0.45146823,0.047520021,0.026866939,0.093684968,0.010194283,0.71100491,2.5831538
0.88188782,1.3514088,0.48844117,0.030009024,0.011354059,0.061918394,0.025484064,0.62191097,2.4876836
0.91119378,1.4960412,0.44719412,0.022416003,0.016222699,0.058369852,0.013503763,0.54490616,2.5397521
0.92776272,1.3962016,0.45022136,0.035605016,0.042342844,0.084118506,0.010783183,0.69459574,2.5144475
0.93672523,1.3918275,0.47001612,0.038505582,0.025796396,0.087046374,0.011805106,0.60139718,2.5572449
0.9390742,1.9783448,0.44232835,0.045287041,0.029849893,0.073738018,0.010733106,0.87553318,2.5391013
0.92300042,1.412599,0.46150135,0.036009415,0.023824164,0.074411325,0.034557496,0.46859483,2.5220997
0.87467775,1.3979204,0.43174615,0.035310837,0.025755389,0.071650231,0.019639025,0.4364848,2.3538833
0.90953743,1.7732033,0.43985684,0.047030335,0.017952428,0.048637231,0.015423145,0.62254348,2.4372283
0.90249784,1.7925668,0.46894423,0.048687794,0.017601131,0.051829645,0.012377049,0.59209314,2.4654846
0.93886232,1.7251411,0.47274432,0.02864182,0.031246679,0.073384987,0.015150855,0.66017079,2.6518981
0.90904471,1.8476807,0.48268377,0.023414961,0.016331604,0.083912029,0.013998782,0.59055199,2.6370929
0.9408357,1.6747892,0.44511433,0.044658819,0.024382786,0.06368664,0.014419491,0.6991391,2.5230937
0.96339638,1.8241392,0.43958448,0.043814944,0.021626407,0.073663568,0.012772873,0.42964514,2.5851366
0.92560083,1.5156688,0.48965569,0.034242563,0.019381732,0.081441544,0.022132632,0.85470729,2.5985406
0.92069768,1.622752,0.4970301,0.034414894,0.022429062,0.088826054,0.024539182,0.89044202,2.6110401
0.90762009,1.9631554,0.49563642,0.040731215,0.013246968,0.074952114,0.013550247,0.97883833,2.5825282
0.90857969,1.9893479,0.49689259,0.038532489,0.014735938,0.075117274,0.015131915,0.95224026,2.6014595
0.96911692,1.3679837,0.37072615,0.037701068,0.038016574,0.071451922,0.010573309,0.45911963,2.4653573
0.9479696,1.8146334,0.54223497,0.045131545,0.026261468,0.098803805,0.015323918,0.74824234,2.732277
0.92680686,1.3018779,0.44909219,0.023374973,0.033179134,0.099786238,0.016862565,0.76788099,2.5587552
0.9372279,1.6661239,0.41282804,0.030945117,0.024617233,0.099986654,0.020114151,0.74467666,2.5153145
0.99421252,1.4141154,0.48345152,0.043227835,0.024183354,0.099991774,0.011964935,0.77732885,2.7030232
0.93748034,1.9092291,0.40892992,0.039718555,0.016359597,0.099982771,0.01746964,0.59569634,2.4909891
0.92928953,1.49654,0.49067788,0.04036342,0.036464023,0.099994499,0.025707246,0.65958598,2.5770925
